MALME3M	SRR8615759	ACH-000477
MC116	SRR8615760	ACH-000583
MCAS	SRR8615757	ACH-000796
MCF7	SRR8615758	ACH-000019
MDAMB134VI	SRR8615755	ACH-000044
MDAMB157	SRR8615756	ACH-000621
MDAMB175VII	SRR8615766	ACH-000759
MDAMB231	SRR8615767	ACH-000768
MDAMB361	SRR8615581	ACH-000934
MDAMB415	SRR8615582	ACH-000876
MDAMB435S	SRR8615583	ACH-000884
MDAMB436	SRR8615584	ACH-000573
MDAMB453	SRR8615577	ACH-000910
MDAMB468	SRR8615578	ACH-000849
MDAPCA2B	SRR8615579	ACH-000952
MDST8	SRR8615580	ACH-000935
ME1	SRR8615585	ACH-000439
MEC1	SRR8615586	ACH-000405
MEG01	SRR8615234	ACH-000072
MELHO	SRR8615233	ACH-000450
MELJUSO	SRR8615232	ACH-000881
MESSA	SRR8615231	ACH-000449
MEWO	SRR8615238	ACH-000987
MFE280	SRR8615237	ACH-000192
